X_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
11464,TO,1090,2018-07
11465,ET,365,2018-08
11466,NY,323,2018-08
11467,SC,392,2018-08
11468,TO,1117,2018-08
11469,ET,209,2018-09
11470,NY,256,2018-09
11471,SC,216,2018-09
11472,TO,719,2018-09
11473,ET,187,2018-10
11474,NY,227,2018-10
11475,SC,186,2018-10
11476,TO,582,2018-10
11477,ET,140,2018-11
11478,NY,199,2018-11
11479,SC,169,2018-11
11480,TO,397,2018-11
11481,ET,108,2018-12
11482,NY,157,2018-12
11483,SC,123,2018-12
11484,TO,329,2018-12
11485,ET,123,2019-01
11486,NY,162,2019-01
11487,SC,151,2019-01
11488,TO,341,2019-01
11489,ET,143,2019-02
11490,NY,190,2019-02
11491,SC,158,2019-02
11492,TO,382,2019-02
11493,ET,170,2019-03
11494,NY,236,2019-03
11495,SC,240,2019-03
11496,TO,576,2019-03
11497,ET,193,2019-04
11498,NY,290,2019-04
11499,SC,237,2019-04
11500,TO,724,2019-04
11501,ET,235,2019-05
11502,NY,336,2019-05
11503,SC,285,2019-05
11504,TO,879,2019-05
11505,ET,242,2019-06
11506,NY,315,2019-06
11507,SC,280,2019-06
11508,TO,901,2019-06
11509,ET,308,2019-07
11510,NY,407,2019-07
11511,SC,323,2019-07
11512,TO,1079,2019-07
11513,ET,281,2019-08
11514,NY,384,2019-08
11515,SC,329,2019-08
11516,TO,1011,2019-08
11517,ET,220,2019-09
11518,NY,247,2019-09
11519,SC,221,2019-09
11520,TO,738,2019-09
11521,ET,150,2019-10
11522,NY,228,2019-10
11523,SC,172,2019-10
11524,TO,576,2019-10
11525,ET,120,2019-11
11526,NY,198,2019-11
11527,SC,156,2019-11
11528,TO,433,2019-11
11529,ET,122,2019-12
11530,NY,187,2019-12
11531,SC,153,2019-12
11532,TO,393,2019-12
11533,ET,130,2020-01
11534,NY,168,2020-01
11535,SC,171,2020-01
11536,TO,426,2020-01
11537,ET,130,2020-02
11538,NY,184,2020-02
11539,SC,160,2020-02
11540,TO,434,2020-02
11541,ET,101,2020-03
11542,NY,122,2020-03
11543,SC,99,2020-03
11544,TO,294,2020-03
11545,TO,47,2020-04
11546,TO,123,2020-05
11547,NY,167,2020-06
11548,SC,222,2020-06
11549,TO,248,2020-06
11550,NY,718,2020-07
11551,SC,782,2020-07
11552,NY,776,2020-08
11553,SC,637,2020-08
11554,NY,864,2020-09
11555,SC,569,2020-09
11556,NY,536,2020-10
11557,SC,581,2020-10
11558,NY,366,2020-11
11559,SC,320,2020-11
11560,NY,168,2020-12
11561,SC,200,2020-12
11562,NY,286,2021-01
11563,SC,78,2021-01
11564,NY,427,2021-02
11565,SC,108,2021-02
11566,NY,631,2021-03
11567,SC,285,2021-03
11568,ET,1,2021-04
11569,NY,560,2021-04
11570,SC,191,2021-04
11571,NY,518,2021-05
11572,SC,187,2021-05
11573,NY,677,2021-06
11574,SC,215,2021-06
11575,TO,3,2021-06
11576,NY,997,2021-07
11577,SC,375,2021-07
11578,NY,372,2021-08
11579,SC,266,2021-08
11580,TO,922,2021-08
11581,TO,1773,2021-09
11582,TO,1413,2021-10
11583,TO,783,2021-11
11584,NY,1,2021-12
11585,TO,689,2021-12
11586,TO,472,2022-01
11587,TO,536,2022-02
11588,TO,1220,2022-03
11589,TO,1265,2022-04
11590,TO,1269,2022-05
11591,NY,455,2022-06
11592,TO,1658,2022-06
11593,NY,559,2022-07
11594,TO,1507,2022-07
11595,NY,647,2022-08
11596,TO,1656,2022-08
11597,NY,467,2022-09
11598,TO,1108,2022-09
11599,NY,304,2022-10
11600,TO,611,2022-10
11601,NY,329,2022-11
11602,TO,476,2022-11
11603,NY,128,2022-12
11604,TO,556,2022-12
11605,NY,149,2023-01
11606,TO,563,2023-01
11607,NY,156,2023-02
11608,TO,617,2023-02
11609,NY,215,2023-03
11610,TO,929,2023-03
11611,NY,318,2023-04
11612,TO,1086,2023-04
11613,NY,305,2023-05
11614,TO,1507,2023-05
11615,NY,416,2023-06
